Date,MinutesOfSleep,MinutesOfBeingAwake,NumberOfAwakings,LengthOfRestInMinutes,SleepScore,sleep_labels
20-02-2016,383,35,31,419,0.8305489260143198,2
21-02-2016,347,45,32,393,0.7684478371501272,2
22-02-2016,0,0,0,0,,NaN
23-02-2016,243,23,9,266,0.8270676691729323,2
24-02-2016,437,22,9,459,0.9041394335511983,0
25-02-2016,382,35,21,417,0.8321342925659473,2
26-02-2016,0,0,0,0,,NaN
27-02-2016,0,0,0,0,,NaN
28-02-2016,262,33,16,295,0.7762711864406779,2
29-02-2016,166,14,7,180,0.8444444444444444,2
01-03-2016,420,31,26,451,0.8625277161862528,1
02-03-2016,327,34,22,361,0.8116343490304709,2
03-03-2016,420,45,28,465,0.8064516129032258,2
04-03-2016,157,10,5,167,0.8802395209580839,1
05-03-2016,302,23,15,325,0.8584615384615385,1
06-03-2016,0,0,0,0,,NaN
07-03-2016,348,39,23,387,0.7984496124031008,2
08-03-2016,267,31,18,299,0.7892976588628763,2
09-03-2016,0,0,0,0,,NaN
10-03-2016,334,29,18,364,0.8379120879120879,2
11-03-2016,0,0,0,0,,NaN
12-03-2016,275,13,10,288,0.9097222222222222,0
13-03-2016,0,0,0,0,,NaN
14-03-2016,0,0,0,0,,NaN
15-03-2016,356,14,5,370,0.9243243243243243,0
16-03-2016,368,46,22,414,0.7777777777777778,2
17-03-2016,388,14,10,402,0.9303482587064676,0
18-03-2016,223,33,17,256,0.7421875,3
19-03-2016,435,49,31,484,0.7975206611570248,2
20-03-2016,383,35,23,427,0.8149882903981265,2
21-03-2016,224,20,13,244,0.8360655737704918,2
22-03-2016,274,35,26,319,0.7492163009404389,3
23-03-2016,391,27,13,418,0.8708133971291866,1
24-03-2016,254,32,13,286,0.7762237762237763,2
25-03-2016,204,10,5,214,0.9065420560747663,0
26-03-2016,64,5,4,69,0.855072463768116,1
27-03-2016,457,54,35,512,0.787109375,2
28-03-2016,0,0,0,0,,NaN
29-03-2016,0,0,0,0,,NaN
30-03-2016,321,40,21,361,0.778393351800554,2
31-03-2016,319,25,15,344,0.8546511627906976,1
01-04-2016,337,51,23,388,0.7371134020618557,3
02-04-2016,78,6,3,85,0.8470588235294118,2
03-04-2016,315,45,23,360,0.75,3
04-04-2016,184,29,16,214,0.7242990654205608,3
05-04-2016,425,25,8,450,0.8888888888888888,1
06-04-2016,267,34,15,302,0.7715231788079471,2
07-04-2016,359,14,7,373,0.9249329758713136,0
08-04-2016,379,46,24,425,0.7835294117647059,2
09-04-2016,507,18,10,525,0.9314285714285714,0
10-04-2016,306,35,22,341,0.7947214076246334,2
11-04-2016,407,50,26,457,0.7811816192560175,2
12-04-2016,354,37,21,391,0.8107416879795396,2
13-04-2016,365,65,31,430,0.6976744186046512,3
14-04-2016,278,26,18,304,0.8289473684210527,2
15-04-2016,396,50,20,446,0.7757847533632287,2
16-04-2016,404,67,25,471,0.7154989384288747,3
17-04-2016,0,0,0,0,,NaN
18-04-2016,307,28,12,335,0.8328358208955224,2
19-04-2016,0,0,0,0,,NaN
20-04-2016,411,31,17,442,0.8597285067873304,1
21-04-2016,341,27,17,368,0.8532608695652174,1
22-04-2016,430,62,39,492,0.7479674796747967,3
23-04-2016,305,42,28,348,0.7557471264367817,2
24-04-2016,375,56,31,431,0.740139211136891,3
25-04-2016,237,28,14,265,0.7886792452830189,2
26-04-2016,360,20,10,380,0.8947368421052632,1
27-04-2016,361,49,27,410,0.7609756097560976,2
28-04-2016,374,56,34,430,0.7395348837209302,3
29-04-2016,348,20,9,368,0.8913043478260869,1
30-04-2016,454,48,27,502,0.8087649402390438,2
01-05-2016,347,41,20,388,0.788659793814433,2
02-05-2016,314,34,23,348,0.8045977011494253,2
03-05-2016,377,33,18,410,0.8390243902439024,2
04-05-2016,406,21,8,427,0.9016393442622951,0
05-05-2016,280,35,15,315,0.7777777777777778,2
06-05-2016,370,42,22,412,0.7961165048543689,2
07-05-2016,502,57,31,563,0.7904085257548845,2
